Rank,Name,Country,Choose Interval,Octagon,Skittlez,Day 1,Signals,Ramen,Jump Civilization,Day 2,Total Score,medal
1,Rareș Felix Tudose,Romania,86,46,100,232,100,100,33,233,465,gold
2,Boris Mihov,Bulgaria,7,84,72,163,100,100,81,281,444,gold
3,Rareș-Andrei Neculau,Romania,100,55,28,183,100,20,44,164,347,gold
4,Vesselin Markovich,Bulgaria,52,55,72,179,100,20,44,164,343,gold
5,Andrei Paul Iorgulescu,Romania,7,55,72,134,100,20,81,201,335,gold
6,Ștefan Cătălin Savu,Romania,52,55,72,179,100,5,44,149,328,gold
7,Matei Neacșu,Romania,7,55,100,162,100,20,44,164,326,gold
8,Tudor-Ștefan Mușat,Romania,52,26,72,150,100,20,44,164,314,gold
9,Maxim Mircea Rebengiuc,Romania,7,26,72,105,100,100,6,206,311,gold
10,Tiberiu-Ștefan Cozma,Romania,52,26,72,150,100,5,44,149,299,gold
11,Alexandru Dima,Romania,7,55,72,134,100,20,44,164,298,gold
12,Roland Petrean,Romania,52,0,72,124,100,20,44,164,288,gold
13,Alexander Gatev,Bulgaria,7,55,72,134,100,5,44,149,283,gold
14,Maksym Shvedchenko,Ukraine,7,55,72,134,100,5,33,138,272,gold
15,Chenglin Shang,Romania,52,55,100,207,15,5,44,64,271,gold
16,Dino Hadžić,Croatia,100,46,28,174,47,5,44,96,270,gold
17,Mihai-Valeriu Voicu,Romania,7,55,72,134,47,40,44,131,265,silver
18,Iulian-George Arsenoiu,Romania,31,55,28,114,100,5,44,149,263,silver
19,Daniel Koynov,Bulgaria,7,55,28,90,100,20,44,164,254,silver
20,Alexandru Mateescu,Romania,0,26,72,98,100,5,44,149,247,silver
21,Petar Mihov,Bulgaria,7,26,72,105,100,20,17,137,242,silver
22,Cristian Luchian,Romania,7,55,72,134,85.5,5,17,107.5,241.5,silver
23,Alin Popescu,Moldova,7,55,28,90,100,5,44,149,239,silver
23,Bendegúz Péter Vámosi,Hungary,7,55,28,90,100,5,44,149,239,silver
23,Gergely Péter Sánta,Hungary,7,55,28,90,100,5,44,149,239,silver
23,Saba Peradze,Georgia,7,55,28,90,100,5,44,149,239,silver
23,Stepan Simak,Ukraine,7,55,28,90,100,5,44,149,239,silver
28,Illia Shevchenko,Ukraine,7,9,72,88,100,5,44,149,237,silver
29,Nazar Vyshniak,Ukraine,52,9,28,89,100,0,44,144,233,silver
30,Andrej Ševera,Switzerland,0,55,28,83,100,5,44,149,232,silver
30,Luca-Mihai Ilie,Romania,0,55,28,83,100,5,44,149,232,silver
32,Davit Dzadzamia,Georgia,52,55,28,135,47,5,17,69,204,silver
33,David-Ioan Curcă,Romania,7,9,72,88,100,5,6,111,199,silver
34,Teodor Luchianov,Romania,7,17,51,75,100,5,17,122,197,silver
35,Daria Perekopska,Ukraine,7,55,28,90,57.5,5,44,106.5,196.5,silver
36,Elisa Ipate,Romania,7,55,28,90,100,0,6,106,196,silver
37,Aleksandar Pendov,Bulgaria,52,55,28,135,10,5,44,59,194,silver
38,Dmytro  Strakhal,Ukraine,7,9,28,44,100,5,44,149,193,silver
39,Vince Ungár,Hungary,7,26,7,40,100,5,44,149,189,silver
39,Vlad-Alexandru Burac,Romania,7,26,7,40,100,5,44,149,189,silver
41,David Constantin Țurcanu,Romania,7,55,28,90,47,5,44,96,186,silver
42,Zsolt Mihály,Hungary,7,0,28,35,100,5,44,149,184,silver
43,Luca Valentin Mureșan,Romania,7,9,28,44,100,5,33,138,182,silver
44,Mihai-Adrian Mocanu,Romania,7,26,28,61,69.5,5,44,118.5,179.5,silver
45,Serkan Rashid,Bulgaria,7,26,7,40,100,5,33,138,178,silver
46,Dobromir Angelov,Bulgaria,7,55,51,113,15,5,44,64,177,silver
47,Luca Baglietto,Italy,0,26,0,26,100,5,44,149,175,silver
48,Rareş Drăguşanu,Romania,0,55,7,62,100,5,6,111,173,silver
49,Denislav Manev,Bulgaria,7,9,7,23,100,5,44,149,172,bronze
49,Tudor Iacob,Romania,7,9,7,23,100,5,44,149,172,bronze
51,Alexandru Dumitru,Romania,7,0,0,7,100,20,44,164,171,bronze
52,Tudor-Cătălin Voicu,Romania,7,55,28,90,31,5,44,80,170,bronze
53,Alexandru Andrei Benescu,Romania,7,55,28,90,28.5,5,44,77.5,167.5,bronze
53,Nikola Vujica,Croatia,7,55,28,90,28.5,5,44,77.5,167.5,bronze
55,Mihail Mihalev,Bulgaria,52,9,28,89,34,0,44,78,167,bronze
56,Tiberiu Mihai Enache,Romania,7,26,28,61,100,0,6,106,167,bronze
57,Horia Andrei Boeriu,Romania,7,9,28,44,100,5,17,122,166,bronze
58,Rareș-Mihai Iordache,Romania,7,55,28,90,31,0,44,75,165,bronze
59,Andrea Coato,Italy,7,17,28,52,100,5,6,111,163,bronze
60,Kaloyan Elenkov,Bulgaria,7,26,7,40,57.5,20,44,121.5,161.5,bronze
61,Petar Banović,Serbia,7,55,72,134,15,5,6,26,160,bronze
62,Andrii Basov,Ukraine,7,55,28,90,57.5,5,6,68.5,158.5,bronze
63,Simona Hristova,Bulgaria,7,26,7,40,69.5,5,44,118.5,158.5,bronze
64,Matteo Arcari,Italy,7,26,28,61,47,5,44,96,157,bronze
65,Andrei Chertes,Romania,7,9,72,88,55,5,6,66,154,bronze
66,David Vișan,Romania,7,9,72,88,15,5,44,64,152,bronze
67,Yordan Tsokanov,Bulgaria,7,9,28,44,100,0,6,106,150,bronze
68,Vladimeri Prangishvili,Georgia,7,9,0,16,100,0,33,133,149,bronze
69,Otar Tsibadze,Georgia,7,9,28,44,55,5,44,104,148,bronze
70,Daniel Getov,Bulgaria,7,9,7,23,100,5,17,122,145,bronze
71,Ioan Ștefan Petrescu,Romania,7,9,28,44,100,0,0,100,144,bronze
71,Nikoloz Melikishvili,Georgia,7,26,28,61,39,0,44,83,144,bronze
73,Vlad Mihai Tutunaru,Romania,7,9,28,44,51,5,44,100,144,bronze
74,Stefan Šebež,Serbia,7,26,28,61,31,5,44,80,141,bronze
74,Yurii Psiuk,Ukraine,7,26,28,61,31,5,44,80,141,bronze
76,Radu Mocănaşu,Romania,7,55,28,90,31,0,17,48,138,bronze
76,Uroš Kostadinović,Serbia,7,55,28,90,31,0,17,48,138,bronze
78,Alessandro Curseri,Italy,7,46,7,60,26,5,44,75,135,bronze
79,Lucian Andrei Badea,Romania,7,55,28,90,7,5,33,45,135,bronze
80,Fabijan Cikač,Croatia,7,55,28,90,27,0,17,44,134,bronze
81,Ianis Belu,Romania,7,9,72,88,23.5,5,17,45.5,133.5,bronze
82,Ștefan Alexandru Nuță,Romania,0,9,28,37,50,0,44,94,131,bronze
83,Sofija Čebašek,Serbia,7,55,28,90,15,5,17,37,127,bronze
83,Teodor-Mihai Stupariu,Romania,7,55,28,90,15,5,17,37,127,bronze
85,Andrei Șună,Romania,7,26,28,61,15,5,44,64,125,bronze
86,Traian Danciu,Romania,7,55,28,90,11,5,17,33,123,bronze
87,Maksym Fedorchuk,Ukraine,7,26,28,61,39,5,17,61,122,bronze
88,Rareș Hanganu,Romania,7,26,28,61,47,5,6,58,119,bronze
89,Nikolay Valchanov,Bulgaria,7,26,28,61,7,5,44,56,117,bronze
90,Nicolas-Andrei Manasia,Romania,7,55,28,90,2,5,17,24,114,bronze
91,Boris Angelov,Bulgaria,7,26,28,61,2,5,44,51,112,bronze
92,Bozhan Ivanov,Bulgaria,7,9,28,44,18,5,44,67,111,bronze
93,Fabian-Ștefan Despa,Romania,7,26,28,61,39,5,6,50,111,bronze
94,Lovro Tunjić,Croatia,7,9,28,44,52.5,0,11,63.5,107.5,bronze
95,Anastasia Corsac,Moldova,7,9,28,44,51,5,6,62,106,bronze
96,Yavor Vasilev,Bulgaria,7,9,28,44,39,5,17,61,105,bronze
97,Giorgi Bulauri,Georgia,7,26,28,61,15,5,17,37,98,
97,Nermin Idiriz,Bulgaria,7,26,28,61,15,5,17,37,98,
99,Kimi Löffel,Switzerland,7,9,28,44,31,5,17,53,97,
99,Luca-Stefan Camburu,Romania,7,9,28,44,15,5,33,53,97,
101,Nikola Manolov,Bulgaria,7,9,28,44,39,5,6,50,94,
102,Andrei Gagea,Romania,7,26,28,61,10,5,17,32,93,
103,Robert-Cristian Mitri,Romania,7,9,28,44,37,5,6,48,92,
104,Vladislav Kostov,Bulgaria,0,9,7,16,38,5,33,76,92,
105,Laura Moldovan,Romania,7,9,7,23,57.5,5,6,68.5,91.5,
106,Valentin Filipov,Bulgaria,7,26,7,40,51,0,0,51,91,
107,Andrei Stan,Romania,7,26,28,61,7.5,5,17,29.5,90.5,
108,Ema Nicole Gheorghe,Romania,7,9,28,44,30,5,6,41,85,
109,Mate Rekhviashvili,Georgia,0,26,28,54,23.5,0,6,29.5,83.5,
110,Viktor Vanev,Bulgaria,7,9,28,44,17,5,17,39,83,
111,Alexandru Nicolae Șerban,Romania,7,9,28,44,27,5,6,38,82,
111,Radu Vasile,Romania,7,9,28,44,27,5,6,38,82,
113,Velislav Borisov,Bulgaria,7,9,28,44,31,5,0,36,80,
114,Dmytro Soroka,Ukraine,7,9,28,44,12.5,5,17,34.5,78.5,
115,Kyrylo Nahosha,Ukraine,7,9,28,44,11,5,17,33,77,
116,Horia Mihai Haivas,Romania,7,9,28,44,20.5,5,6,31.5,75.5,
117,Ivan Bohun,Ukraine,7,26,28,61,2,5,6,13,74,
118,Radu Pipernea,Romania,7,9,28,44,7,5,17,29,73,
119,Kyryl Garbuza,Ukraine,7,0,28,35,15,5,17,37,72,
120,Simon Slănină,Romania,31,0,28,59,1,0,11,12,71,
121,Iulia Morariu,Romania,7,9,28,44,15,5,6,26,70,
121,Ursus Wigger,Switzerland,7,9,28,44,15,5,6,26,70,
123,Alexei Baca,Moldova,0,9,28,37,15,5,11,31,68,
124,Andrei Calotă,Romania,7,9,28,44,12.5,5,6,23.5,67.5,
125,Vlad Andrei Dobromir,Romania,7,9,28,44,18,5,0,23,67,
126,Kaloyan Varbanov,Bulgaria,7,9,28,44,8.5,5,6,19.5,63.5,
127,Andrei Marciuc,Romania,7,9,0,16,2,0,44,46,62,
128,Preslav Toshev,Bulgaria,7,9,28,44,7,5,6,18,62,
128,Ruxandra Niculina Vasilescu,Romania,7,9,28,44,7,5,6,18,62,
130,Ana-Maria Petcu,Romania,0,9,7,16,17,5,17,39,55,
131,Darius Hanganu,Romania,7,9,28,44,10,0,0,10,54,
132,Boyan Georgiev,Bulgaria,7,0,28,35,18,0,0,18,53,
132,Georgi Petkov,Bulgaria,7,0,28,35,7,5,6,18,53,
134,Robert Barbuta,Moldova,7,9,7,23,18,5,6,29,52,
135,Teodor Vrânceanu,Romania,7,9,28,44,2,0,6,8,52,
136,Armin Asgari,Romania,7,9,28,44,7.5,0,0,7.5,51.5,
137,Kostiantyn Malyk,Ukraine,7,9,7,23,15,5,6,26,49,
138,Sebastian Rîpă,Romania,0,9,28,37,2,0,6,8,45,
139,Vesela Nikolova,Bulgaria,7,9,7,23,11,5,6,22,45,
140,Radu Gabriel Biclineru,Romania,7,9,28,44,0,0,0,0,44,
140,Ștefan Vlad Păunescu,Romania,7,9,28,44,0,0,0,0,44,
142,Taras Derkach,Ukraine,0,9,28,37,0,5,0,5,42,
143,Ihnat Ovcharenko,Ukraine,7,9,7,23,18,0,0,18,41,
144,Andrei Mihai Pană,Romania,0,0,28,28,7,5,0,12,40,
145,Timur Khoma,Ukraine,0,9,7,16,13,5,6,24,40,
146,Aleksandar Valchev,Bulgaria,7,9,7,23,5,5,6,16,39,
146,Maksym Likarchuk,Ukraine,7,9,7,23,10,0,6,16,39,
148,Aleksandar Georgiev,Bulgaria,7,9,7,23,10,5,0,15,38,
149,Viktoriia Lavrova,Ukraine,0,9,7,16,11,5,6,22,38,
150,Samuel Șoimaru,Romania,7,0,7,14,23,0,0,23,37,
151,Dimitar Shapatov,Bulgaria,7,9,7,23,2,5,6,13,36,
152,Ralitsa Nikolova,Bulgaria,0,9,7,16,15,5,0,20,36,
152,Zdravko Nikolov,Bulgaria,7,9,7,23,2,5,6,13,36,
154,Andon Tepavicharov,Bulgaria,7,9,7,23,5,0,6,11,34,
154,Dmytro Yuzkevych,Ukraine,7,9,7,23,0,5,6,11,34,
156,Andreea Sandrean,Moldova,0,9,0,9,17,0,6,23,32,
157,Andrii Holod,Ukraine,7,9,0,16,5,5,6,16,32,
158,Alexandru Sozîchin,Moldova,0,0,7,7,18,5,0,23,30,
159,Filip Ștefan Tudose,Romania,7,9,7,23,7,0,0,7,30,
159,Grasiela Atanasova,Bulgaria,7,9,7,23,7,0,0,7,30,
161,Maria Todorova,Bulgaria,0,9,7,16,2,5,6,13,29,
161,Vlad Neguț,Romania,0,9,7,16,2,5,6,13,29,
163,Gvantsa Khvedelidze,Georgia,7,9,7,23,5,0,0,5,28,
164,Ivan Kolev,Bulgaria,0,9,7,16,6,5,0,11,27,
165,Damyan Nakev,Bulgaria,0,9,0,9,16,0,0,16,25,
165,Yoan Dimitrov,Bulgaria,0,9,0,9,16,0,0,16,25,
167,Linus VandeVondele,Switzerland,0,9,7,16,2.5,5,0,7.5,23.5,
168,David-Matei Popa,Romania,0,9,7,16,2,5,0,7,23,
169,Kyrylo Volochai,Ukraine,0,9,7,16,2,5,0,7,23,
169,Octavian Harcel,Moldova,0,9,7,16,2,5,0,7,23,
169,Ștefan Claudel Neagu,Romania,0,9,7,16,7,0,0,7,23,
172,Fedir Uleshchenko,Ukraine,0,9,7,16,0,0,6,6,22,
173,Mariia Pichkur,Ukraine,0,9,7,16,2,0,0,2,18,
173,Oleksiy Ikolenko,Ukraine,0,9,7,16,2,0,0,2,18,
175,Theodor-Alexe Cismaru,Romania,0,0,7,7,2,0,6,8,15,
176,Anton Stoyanov,Bulgaria,0,9,0,9,2,0,0,2,11,
177,Alexander Vladimirov,Bulgaria,7,0,0,7,2,0,0,2,9,
177,Maya Banalieva,Bulgaria,7,0,0,7,2,0,0,2,9,
179,Radoslav Dimitrov,Bulgaria,0,9,0,9,0,0,0,0,9,
180,Mykola Zaiets,Ukraine,0,0,7,7,0,0,0,0,7,
180,Olesya Ilyuk,Ukraine,0,0,7,7,0,0,0,0,7,
182,Viktoriia Fedoryna,Ukraine,0,0,0,0,5,0,0,5,5,
183,Andrei Beșu-Roca,Romania,0,0,0,0,0,0,0,0,0,
183,Andrii Novikov,Ukraine,0,0,0,0,0,0,0,0,0,
183,Artem Bura,Ukraine,0,0,0,0,0,0,0,0,0,
183,Daria Lobas,Ukraine,0,0,0,0,0,0,0,0,0,
187,Fedir Barabas,Ukraine,0,0,0,0,0,0,0,0,0,
187,Ioana-Mihaela Pașca,Romania,0,0,0,0,0,0,0,0,0,
187,Savelii Hryshchenko,Ukraine,0,0,0,0,0,0,0,0,0,
187,Sebastian Rîpă,Romania,0,0,0,0,0,0,0,0,0,
187,Yaroslav Stepaniuk,Ukraine,0,0,0,0,0,0,0,0,0,
